Lesson,content,category,answer1,answer2,answer3,answer4,answer5,answer6
Dative I,The goddess of the moon loves the waters of the forest.,translation-eng,Dea lunae aquas silvae amat.,,,,,
Dative I,"The sailors tell the ladies a story, because the ladies love stories.",translation-eng,Nautae dominis fabulam narrant quod dominae fabulas amant.,Nautae dominis fabulam narrant quia dominae fabulas amant.,,,,
Dative I,To whom do the girls give a wreath?,translation-eng,Cui puellae coronam dant.,,,,,
Dative I,Whose wreath is Latona carrying? Diana’s.,translation-eng,Cuius coronam portat Latona? Corona Dianae.,,,,,
Dative I,Cui domina fābulam nārrat?,translation-lat,To whom does the lady tell the story?,To whom does the lady tell a story?,Whom does the lady tell the story to?,Whom does the lady tell a story to?,,
Dative I,Cuius victōriam Galba nūntiat?,translation-lat,Whose victory does Galba announce?,Galba announces whose victory,,,,
Dative I,Dea lūnae sagittās portat et ferās silvārum necat.,translation-lat,The goddess of the moon carries arrows and kills the beasts of the forests.,A goddess of the moon carries arrows and kills the beasts of the forests.,A goddess of the moon carries arrows and kills beasts of the forests.,The goddess of the moon carries arrows and kills  beasts of the forests.,The goddess of the moon carries arrows and kills the beasts of the forests.,A goddess of the moon carries arrows and kills the beasts of the forests.
Dative I,Fīliae agricolae domina fābulam nārrat.,translation-lat,The lady tells the story to the farmer's daughter.,A lady tells the story to the farmer's daughter.,A lady tells a story to the farmer's daughter.,A lady tells a story to a farmer's daughter.,The lady tells a story to a farmer's daughter.,The lady tells the story to a farmer's daughter.
Dative I,Fīliae agricolae nautīs pecūniam dant.,translation-lat,The farmer's daughters give money the sailors.,,,,,
Dative I,Galba agricolīs fortunam pugnae nūntiat.,translation-lat,Galba announces the results of the fight to the farmers.,,,,,
Dative I,Nautae victōriam Galba nūntiat.,translation-lat,Galba announces the victory to the sailor.,Galba announces a victory to the sailor.,Galba announces a victory to a sailor.,Galba announces the victory to a sailor.,,
Dative I,Puella Diānae corōnam dat quia Diānam amat.,translation-lat,The girl gives the wreath to Diana because she loves Diana.,The girl gives a wreath to Diana because she loves Diana.,,,,
Dative I,Quis Diānae corōnam dat?,translation-lat,Who gives Diana a wreath?,Who gives a wreath to Diana?,,,,
Dative I,Quis fortūnam pugnae nūntiat?,translation-lat,Who announces the result of the fight?,,,,,
Dative I,Quis nautīs pecūniam dat?,translation-lat,Who gives money to the sailors?,,,,,
Dative I, corōna ,vocab, wreath, garland, crown,,,
Dative I, cui ,vocab,to whom,,,,,
Dative I, dat ,vocab,He gives,She gives,It gives,He is giving,She is giving,
Dative I, pecūnia ,vocab, money,,,,,
Dative I, pugna ,vocab, battle,,,,,
Dative I, quia ,vocab, because,,,,,
Dative I, victōria ,vocab, victory,,,,,
Ablative I,His daughter is getting a good dinner for the farmer.,translation-eng,Filia agricolae cenam bonam parat. ,,,,,
Ablative I,His little daughter lives with the farmer.,translation-eng,Filia cum agricola habitat.,,,,,
Ablative I,The daughter’s good dinner is pleasing to the farmer.,translation-eng,Cena bona filiae argricolae grata est.,,,,,
Ablative I,The farmer lives in the small cottage.,translation-eng,Agricola in casa parva habitat.,,,,,
Ablative I,The farmer praises the good dinner.,translation-eng,Agricola cenam bonam laudat.,,,,,
Ablative I,Where does the farmer live?,translation-eng,Ubi habitat agricola?,,,,,
Ablative I,Who lives with the farmer?,translation-eng,Quis cum agricola habitat?,,,,,
Ablative I,Agricola cum fīliā in casā habitat.,translation-lat,The farmer lives in the cottage with his daughter.,,,,,
Ablative I,"Amatne Lātōna fīliam? Amat, et fīlia Lātōnam amat.",translation-lat,Does Latona love her daughter? She does and her daughter loves Latona.,,,,,
Ablative I,Bona fīlia agricolae cēnam parat.,translation-lat,The good daughter is preparing a dinner for the farmer.,,,,,
Ablative I,Cēna est grāta agricolae et agricola bonam fīliam laudat.,translation-lat,The dinner is pleasing to the farmer and the farmer praises his good daughter.,,,,,
Ablative I,Corōnās pulchrās fīlia mea parva portat.,translation-lat,My little daughter carries beautiful wreaths.,My little daughter is carrying the beatiful wreaths. ,,,,
Ablative I,Cui fīlia tua corōnās pulchrās dat?,translation-lat,To whom does your daughter give beautiful wreaths?,Whom is your daughter giving the beautiful wreaths to?,,,,
Ablative I,"Cuius fīlia, Galba, est Diāna?",translation-lat,"Galba, whose daughter is Diana?",,,,,
Ablative I,Cūr Diāna sagittās portat?,translation-lat,Why does Diana carry arrows?,,,,,
Ablative I,Deinde fīlia agricolae gallīnās ad cēnam vocat.,translation-lat,Then the farmer's daughter calls the chickens to dinner.,,,,,
Ablative I,"Diāna sagittās portat, Iūlia, quod malās ferās silvae magnae necat.",translation-lat,"Julia, Diana carries arrows because she kills the evil beasts of the great forest.",,,,,
Ablative I,"Diāna, Iūlia, est pulchra dea lūnae et silvārum.",translation-lat,"Julia, Diana is the beautiful goddess of the moon and the forests.",,,,,
Ablative I,Diānae corōnās dat.,translation-lat,He gives the wreaths to Diana.,,,,,
Ablative I,Domina bonae puellae parvae pecūniam dat.,translation-lat,The lady gives money to the little girl. ,,,,,
Ablative I,Domina in īnsulā magnā habitat.,translation-lat,The lady lives in a great island. ,,,,,
Ablative I,Fīlia agricolae est grāta dominae.,translation-lat,The daughter of the famer is not pleasing to the lady.,,,,,
Ablative I,Gallīnae fīliam agricolae amant.,translation-lat,The chickens love the farmer's daughter.,,,,,
Ablative I,"Lātōnae fīlia, Iūlia, est Diāna.",translation-lat,"Julia, Diana is Latona's daughter.",,,,,
Ablative I,Malae fīliae bonās cēnās nōn parant.,translation-lat,The bad daughters do not prepare good dinners.,Bad daughters do not prepare good dinners.,The bad daughters are not preparing good dinners.,,,
Ablative I,Quid Diāna portat? Sagittās Diāna portat.,translation-lat,What is Diana carrying?  Diana is carrying arrows.,What does Diana carry? Diana carries arrows.,,,,
Ablative I,Quid fīlia tua parva portat?,translation-lat,What is your little daughter carrying?,What does your little daughter carry?,,,,
Ablative I,Quis est cum fīliā tuā? Estne sōla?,translation-lat,Who is with your daughter? Is she alone?,,,,,
Ablative I,Sōla nōn est; fīlia mea parva est cum ancillā meā.,translation-lat,She is not alone; my little daughter is with my maidservant. ,,,,,
Ablative I, ad ,vocab, to,,,,,
Ablative I, amat ,vocab, he loves,,,,,
Ablative I, amatne? ,vocab, does he love?,,,,,
Ablative I, bona ,vocab, good,,,,,
Ablative I," casa, -ae ",vocab, cottage,,,,,
Ablative I, cūr ,vocab, why,,,,,
Ablative I, deinde ,vocab, then, in the next place,,,,
Ablative I, est ,vocab, he is,,,,,
Ablative I, estne? ,vocab, is he?,,,,,
Ablative I," gallīna, -ae ",vocab, hen, chicken,,,,
Ablative I, grāta ,vocab, pleasing,,,,,
Ablative I," īnsula, ae ",vocab, island,,,,,
Ablative I, laudat ,vocab,He praises.,She praises,It praises,He is praising.,She is praising.,
Ablative I, magna ,vocab, large, great,,,,
Ablative I, mala ,vocab, bad, wicked,,,,
Ablative I, mea ,vocab, my,,,,,
Ablative I, nōn ,vocab, not,,,,,
Ablative I, parva ,vocab, small, little,,,,
Ablative I, pulchra ,vocab, beautiful, pretty,,,,
Ablative I, quem ,vocab, whom?,,,,,
Ablative I, quid ,vocab, what?,,,,,
Ablative I, sōla ,vocab, alone,,,,,
Ablative I, tua ,vocab, thy, your,,,,
Ablative I, ubi ,vocab, where,,,,,
Adjectives and Word Order,Clāra est īnsula Sicilia.,translation-lat,Sicily is a famous island.,,,,,
Adjectives and Word Order,Cui Galba agricola fābulam novam nārrat? Fīliābus dominae clārae fābulam novam nārrat.,translation-lat,To whom does Galba the farmer tell the story? To the daughters of the famous lady. ,,,,,
Adjectives and Word Order,"Estne Italia lāta terra? Longa est Italia, nōn lāta.",translation-lat,"Is Italia a wide land? Italia is long, not wide.",,,,,
Adjectives and Word Order,Longae nōn sunt tuae viae.,translation-lat,Your roads are not long.,,,,,
Adjectives and Word Order,Nautae altās et lātās amant aquās.,translation-lat,The sailors love deep and wide waters.,,,,,
Adjectives and Word Order,Quem laudat Lātōna? Lātōna laudat fīliam.,translation-lat,Who does Latona praise? Latona praises her daughter. ,,,,,
Adjectives and Word Order,Quid ancilla tua portat? Ancilla mea tubam novam portat.,translation-lat,What does your maidservant carry? My maidservant carries a new trumpet.,,,,,
Adjectives and Word Order,"Quis lātā in silvā habitat? Diāna, lūnae clārae pulchra dea, lātā in silvā habitat.",translation-lat,"Who lives in the forest? Diana, the beautiful goddess of the clear moon, lives in the broad forest.",,,,,
Adjectives and Word Order,Suntne tubae novae in meā casā? Nōn sunt.,translation-lat,Are your new trumpets in my cottage? They are not.,,,,,
Adjectives and Word Order,Ubi sunt Lesbia et Iūlia? In tuā casā est Lesbia et Iūlia est in meā.,translation-lat,Where are Lesbia and Julia? Lesbia and Julia are in your cottage.,,,,,
Adjectives and Word Order, alta ,vocab, high, deep,,,,
Adjectives and Word Order, clāra ,vocab, famous, clear, bright,,,
Adjectives and Word Order," Italia, -ae ",vocab, Italy,,,,,
Adjectives and Word Order, lāta ,vocab, wide,,,,,
Adjectives and Word Order, longa ,vocab, long,,,,,
Adjectives and Word Order, nova ,vocab, new,,,,,
Adjectives and Word Order," tuba, -ae ",vocab, trumpet,,,,,
Adjectives and Word Order," via, -ae ",vocab, way, road, street,,,
O-Declension I, Quid oppidānī parant?,translation-lat,What are the townsfolk getting ready for?,,,,,
O-Declension I,"Amant oppidānī Sextum et laudant, quod magnā cum cōnstantiā pugnat.",translation-lat,The townspeople love Sextus and prasise him because he fights with great constancy.,,,,,
O-Declension I,Amantne oppidānī Sextum?,translation-lat,Do the townspeople love Sextus?,,,,,
O-Declension I,"Ancilla mea, Galba, equō lēgātī aquam et frūmentum dat.",translation-lat,"Galba, my maidservant is giving water and food to the legate.",,,,,
O-Declension I,Cuius equum ancilla cūrat?,translation-lat,Whose horse does the maidservant take care of?,,,,,
O-Declension I,Cūr nōn servus Sextī equum dominī cūrat?,translation-lat,Why does Sextus' servant not care for the lord's horse?,,,,,
O-Declension I,In oppidō Sextus cum fīliābus habitat.,translation-lat,Sextus lives in a town with his daughters.,,,,,
O-Declension I,"Lēgātus, Galba, est Sextus.",translation-lat,"Galba, Sextus is the legate.",,,,,
O-Declension I,Sextus et servus ad mūrum oppidī properant. Oppidānī bellum parant.,translation-lat,Sextus and his servant hasten to the city's wall. The townspeople are getting ready for war.,,,,,
O-Declension I,Quem oppidānī amant et laudant?,translation-lat,Whom do the townspeople love and praise?,,,,,
O-Declension I,Quid ancilla equō lēgātī dat?,translation-lat,What does the maidservant gives to the legate's horse?,,,,,
O-Declension I,Quid oppidānī parant?,translation-lat,What are the townsfolk preparing?,,,,,
O-Declension I,Quis ad mūrum cum Sextō properat?,translation-lat,Who hastens to the wall with Sextus?,,,,,
O-Declension I,"Quis, Mārce, est lēgātus cum pīlō et tubā?",translation-lat,"Marcus, who is the legate with the javelin and the trumpet?",,,,,
O-Declension I,Sextus et servus ad mūrum oppidī properant. Oppidānī bellum parant.,translation-lat,Sextus and his servant hasten to the wall of the town. The townspeople are preparing for war.,,,,,
O-Declension I,Ubi fīliae Sextī habitant?,translation-lat,Where do Sextus' daughters live?,,,,,
O-Declension I,Ubi Sextus habitat?,translation-lat,Where does Sextus live?,,,,,
O-Declension I,"Ubi, Mārce, est ancilla tua? Cūr nōn cēnam parat?",translation-lat,"Marcus, where is your maidservant? Why is she not preparing dinner?",,,,,
O-Declension I," bellum, -ī ",vocab, war,,,,,
O-Declension I," cōnstantia, -ae ",vocab, firmness, constancy, steadiness,,,
O-Declension I, cūrat ,vocab," he (she, it) cares for",,,,,
O-Declension I," equus, -ī ",vocab, horse,,,,,
O-Declension I," frūmentum, -ī ",vocab, grain,,,,,
O-Declension I," lēgātus, -ī ",vocab, lieutenant, ambassador,,,,
O-Declension I," Mārcus, -ī ",vocab, Marcus, Mark,,,,
O-Declension I," mūrus, -ī ",vocab, wall,,,,,
O-Declension I," oppidānus, -ī ",vocab, townsman,,,,,
O-Declension I," oppidum, -ī ",vocab, town,,,,,
O-Declension I," pīlum, -ī ",vocab, spear,,,,,
O-Declension I, properat ,vocab," he (she, it) hastens",,,,,
O-Declension I," servus, -ī ",vocab, slave, servant,,,,It is giving.
O-Declension II,"Mark, where is Lesbia, the maidservant?",translation-eng,"Ubi, Marce, est Lesbia ancilla?",,,,,
O-Declension II,My friend does not love the people of Italy.,translation-eng,Amicus populum Italiae non amat.,,,,,
O-Declension II,"My friend is from a village of Germany, my fatherland.",translation-eng,Amicus est Germaniae patriae.,,,,,
O-Declension II,"She is hastening towards Julia, the farmer’s daughter.",translation-eng,Ad Juliam filiam agricolae properat.,,,,,
O-Declension II,"Who is caring for the good horse of Galba, the farmer?",translation-eng,Quis equum bonum Galbae agricolae curat?,,,,,
O-Declension II,"Wicked slave, who is your friend? Why does he not praise Galba, your master?",translation-eng,"Quis, male serve, est amicus? Cur Galbam dominum non laudat?",,,,,
O-Declension II,Galba agricola et Iūlia fīlia bona labōrant.,translation-lat,Galba the farmer and his good daughter Julia labor.,,,,,
O-Declension II,Malī servī equum bonum Mārcī dominī necant.,translation-lat,"The wicked slaves kill the good horse of Marcus, the master.",,,,,
O-Declension II,Mārcus nauta in īnsulā Siciliā habitat.,translation-lat,Marcus the sailor lives on the island of Sicily.,,,,,
O-Declension II,Oppidānī bonī Sextō lēgātō clārō pecūniam dant.,translation-lat,"The good townspeople give money to Sextus, the renowned lieutenant.",,,,,
O-Declension II,"Rhēnus est in Germāniā, patriā meā.",translation-lat,"The Rhine is in Germany, my fatherland.",,,,,
O-Declension II,Sextus lēgātus pīlum longum portat.,translation-lat,"Sextus, the lieutenant, carries a long spear.",,,,,It is praising. 
O-Declension II," amīcus, -ī ",vocab, friend,,,,,
O-Declension II," Germānia, -ae ",vocab, Germany,,,,,
O-Declension II," patria, -ae ",vocab, fatherland,,,,,
O-Declension II," populus, -ī ",vocab, people,,,,,
O-Declension II," Rhēnus, -ī ",vocab, the Rhine,,,,,
O-Declension II," vīcus, -ī ",vocab, village,,,,,
A- and O- Adjectives,Friends care for the good sailors.,translation-eng,Amici nautas bonos curant.,,,,,
A- and O- Adjectives,Lesbia invites the good sailor to dinner.,translation-eng,Lesbia ad cenam nautam bonum invitat.,,,,,
A- and O- Adjectives,"Sextus, where is my helmet?",translation-eng,"Sexte, ubi est mea galea?",,,,,
A- and O- Adjectives,The good sailors are hastening to the toilsome battle.,translation-eng,Nautae boni ad pugnam duram properant.,,,,,
A- and O- Adjectives,The horses of the wicked farmers are small.,translation-eng,Equi agricolarum malorum sunt parvi.,,,,,
A- and O- Adjectives,The reputation of the wicked farmer is not good.,translation-eng,Fama agricolae mali non est bona.,,,,,
A- and O- Adjectives,The Roman people give money to the good sailors.,translation-eng,Populus romanus nautae bono pecuniam dat.,,,,,
A- and O- Adjectives,The wicked farmer is hastening to the village with (his) booty.,translation-eng,Agricola malus ad oppidum cum praedia properat.,,,,,
A- and O- Adjectives,Whose friends are fighting with the wicked farmers?,translation-eng,Cuius amici cum agricolis malis pugnant?,,,,,
A- and O- Adjectives,Why does Galba’s daughter give arms and weapons to the wicked farmer?,translation-eng,Cur filia Galbae arma agricolae malo dat?,,,,,
A- and O- Adjectives,Why is Lesbia with the good sailor hastening from the cottage?,translation-eng,Cur Lesbia ex casa cum nauta bono properat?,,,,,
A- and O- Adjectives,"Cūr, nautae bonī, malī agricolae ad Rhēnum properant?",translation-lat,"Why, O good sailors, are the wicked farmers hastening to the Rhine?",,,,,
A- and O- Adjectives,Est in vīcō nauta bonus.,translation-lat,There is a good sailor in the village.,,,,,
A- and O- Adjectives,Fāma nautārum bonōrum est clāra.,translation-lat,The reputation of the good sailors is famous.,,,,,
A- and O- Adjectives,Malī agricolae cum bonīs nautīs pugnant.,translation-lat,The wicked farmers fight with the good sailors.,,,,,
A- and O- Adjectives,Nautae bonī ad bellum properant.,translation-lat,The good sailor hastens to war.,The good sailor hastens to the war.,,,,
A- and O- Adjectives,Oppidānī nautās bonōs cūrant.,translation-lat,The townspeople care for the good sailors.,The townspeople are caring for the good sailors.,,,,
A- and O- Adjectives,Populus Rōmānus nautam bonum laudat.,translation-lat,The Roman people praise the good sailor.,,,,,
A- and O- Adjectives,Pugnae sunt grātae nautīs bonīs.,translation-lat,Battles are pleasing to the good sailors.,,,,,
A- and O- Adjectives,Sextus cum nautā bonō praedam portat.,translation-lat,Sextus carries the prize with the good sailor.,,,,,
A- and O- Adjectives,Sextus est amīcus nautae bonī.,translation-lat,Sextus is a friend of the good sailor.,,,,,
A- and O- Adjectives,Sextus nautae bonō galeam dat.,translation-lat,Sextus gives a helmet to the good sailor.,Sextus gives the helmet to the good sailor.,,,,
A- and O- Adjectives,"Ubi, nauta bone, sunt anna et tēla lēgātī Rōmānī?",translation-lat,"Where, O good sailor, are the arms and weapons of the Roman lieutenant?",,,,,
A- and O- Adjectives," arma, armōrum ",vocab, arms,,,,,
A- and O- Adjectives," fāma, -ae ",vocab," reputation, fame", rumor,,,,
A- and O- Adjectives," galea, -ae ",vocab, helmet,,,,,
A- and O- Adjectives," praeda, -ae ",vocab, booty, spoils,,,,
A- and O- Adjectives," Rōmānus, -a, -um ",vocab, Roman,,,,,
A- and O- Adjectives," tēlum, -ī ",vocab, weapon of offense, spear,,,,
O-Declension III,Agrī bonī agricolīs praemia dant magna.,translation-lat,Good fields give farmers great rewards.,,,,,
O-Declension III,Equī agricolārum cōpiam frūmentī ad oppida et vīcōs portant. ,translation-lat,The farmer's horses carries a lot of grain to the towns and villages. ,,,,,
O-Declension III,"Altōs mūrōs, longa et dūra bella, clārās victōriās quis nōn laudat? ",translation-lat,"Who does not praise the high walls, the long and hard wars, and the famous victories?",,,,,
O-Declension III,Saepe fīliō meō praemia pulchra et praedam multam dat.,translation-lat,He often gives my son beautiful rewards and many prizes.,,,,,
O-Declension III,Amatne lēgātus fīlium tuum?,translation-lat,Does the lieutenant like your son?,,,,,
O-Declension III,Bella Germānōrum sunt magna et clāra.,translation-lat,The wars of the Germans are great and famous.,,,,,
O-Declension III,Estne fīlius tuus copiārum Rōmānārum lēgātus?,translation-lat,Is your son a lieutenant of the Roman forces?,,,,,
O-Declension III,Fluvius Rhēnus est fīnitimus oppidīs multīs et clārīs.,translation-lat,The Rhine river is bordered by many famous towns.,,,,,
O-Declension III,"Germānia, patria Germānōrum, est clāra terra.",translation-lat,"Germany, the homeland of the Germans, is a famous land.",,,,,
O-Declension III,Gladium et pīlum longum portat.,translation-lat,He carries a sword and a javelin.,,,,,
O-Declension III,In agrīs populī Rōmānī labōrant multī servī. ,translation-lat,Many slaves work in the fields of the Roman people.,,,,,
O-Declension III,In Germāniā sunt fluviī multī.,translation-lat,There are many rivers in Germany.,,,,,
O-Declension III,In silvīs lātīs Germāniae sunt ferae multae.,translation-lat,There are many beasts in the wide forests of Germany.,,,,,
O-Declension III,"Lēgātus nōn est, sed est apud legiōnāriōs.",translation-lat,"He is not a lieutenant, but he does serve among the legionaries. ",,,,,
O-Declension III,"Magna est Italiae fāma, patriae Rōmānōrum, et clāra est Rōma, domina orbis terrārum.",translation-lat,"The fame of Italy, the homeland of the Romans, is great, and Rome, the master of the world, is famous.",,,,,
O-Declension III,Multi Germānii in oppidīs magnis et in vīcīs parvīs habitant et multī sunt agricolae bonī. ,translation-lat,Many Germans live in large towns and small villages and many are good farmers. ,,,,,
O-Declension III,"Nōn est, Cornēlī, in Italiā. Ad fluvium Rhēnum properat cum cōpiīs Rōmānīs.",translation-lat,"Cornelius, he is not in Italy. He is hastening to the Rhine with the Roman forces.",,,,,
O-Declension III,Līber Germāniae populus Rōmānōs nōn amat.,translation-lat,The free German people do not love the Romans.,,,,,
O-Declension III,Populus Germāniae bellum et proelia amat et saepe cum finitimīs pugnat. ,translation-lat,The German people loves war and battles and often fight with their neighbors.,,,,,
O-Declension III,Pulchra est terra Italia. ,translation-lat,Italy is a beautiful land.,,,,,
O-Declension III,Quae arma portat?,translation-lat,What arms do they carry?,What arms are they carrying?,,,,
O-Declension III,Quae tēla portat?,translation-lat,What weapons do they carry?,What weapons are they carrying?,,,,
O-Declension III,Rhēnus magnus et lātus fluvius Germāniae est.,translation-lat,The Rhine is a great wide river of Germany. ,,,,,
O-Declension III,Scūtum magnum et lōrīcam dūram et galeam pulchram portat.,translation-lat,"He carries a huge shield, a hard coat of mail, and a beautiful helmet. ",,,,,
O-Declension III,"Terra Germānōrum, Cornēlī, est fīnitima Rhēnō, fluviō magnō et altō.",translation-lat,"Cornelius, the land of the Germans borders the huge and wide Rhine river.",,,,,
O-Declension III,"Tiberim, fluvium Rōmānum, quis nōn laudat et pulchrōs fluviō fīnitimōs agrōs? ",translation-lat,"Who does not praise the Tiber, the river of Romans, and the beautiful fields that border the river?",,,,,
O-Declension III,Ubi est terra Germānōrum?,translation-lat,Where is the land of the Germans?,,,,,
O-Declension III,"Ubi est, Mārce, fīlius tuus? Estne in pulchrā terrā Italiā?",translation-lat,"Marcus, where is your son? Is he in the beautiful land of Italy?",,,,,
O-Declension III," ager, agrī ",vocab, field,,,,,
O-Declension III, apud ,vocab, among,,,,,
O-Declension III," cōpia, -ae ",vocab, plenty,,,,,
O-Declension III," Cornēlius, Cornē´lī ",vocab, Cornelius,,,,,
O-Declension III," fīlius, fīlī ",vocab, son,,,,,
O-Declension III," fīnitimī, -ōrum ",vocab, neighbors,,,,,
O-Declension III," fīnitimus, -a, -um ",vocab, bordering upon, neighboring, near to,,,
O-Declension III," Germānus, -a, -um ",vocab, German,,,,,
O-Declension III," gladius, gladī ",vocab, sword,,,,,
O-Declension III," līber, lībera, līberum ",vocab, free,,,,,
O-Declension III," līberī, -ōrum ",vocab, children,,,,,
O-Declension III," lōrī´ca, -ae ",vocab, coat of mail,,,,,
O-Declension III," multus, -a, -um ",vocab, much,,,,,
O-Declension III," praemium, praemī ",vocab, reward,,,,,
O-Declension III," proelium, proelī ",vocab, battle,,,,,
